City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Elizabeth,ZA,2021-12-22 10:55:20,-33.918,25.5701,75.09,88,90,16.11
68,Yakovlevka,RU,2021-12-22 10:55:21,44.425,133.4772,-9.26,97,11,1.32
69,Hutang,CN,2021-12-22 10:55:21,31.5333,119.4833,50.13,44,0,5.97
70,Golaesti,RO,2021-12-22 10:55:21,47.2333,27.7,28.47,64,75,10.0
71,Puri,IN,2021-12-22 10:55:22,19.8,85.85,77.52,31,0,1.81
72,Ambovombe,MG,2021-12-22 10:55:22,-25.1667,46.0833,85.53,58,98,8.41
73,Port Alfred,ZA,2021-12-22 10:55:22,-33.5906,26.891,75.96,78,100,13.2
74,Katsuura,JP,2021-12-22 10:55:23,35.1333,140.3,48.18,51,77,11.95
75,Ponta Do Sol,PT,2021-12-22 10:55:23,32.6667,-17.1,72.72,85,71,9.4
76,Senno,RU,2021-12-22 10:55:23,59.5336,33.9167,1.26,99,96,2.57
77,Altoona,US,2021-12-22 10:54:55,40.5187,-78.3947,38.21,84,26,8.01
78,Leningradskiy,RU,2021-12-22 10:55:24,69.3833,178.4167,-21.89,92,28,5.91
79,Samarai,PG,2021-12-22 10:55:24,-10.6167,150.6667,82.89,74,53,4.21
80,Ratangarh,IN,2021-12-22 10:55:25,28.0833,74.6,75.54,9,9,3.78
81,Lebu,CL,2021-12-22 10:55:25,-37.6167,-73.65,56.37,85,6,12.93
82,Norman Wells,CA,2021-12-22 10:55:26,65.282,-126.8329,-7.56,77,75,0.0
83,Aklavik,CA,2021-12-22 10:55:26,68.2191,-135.0107,-6.77,90,100,6.22
84,Khatanga,RU,2021-12-22 10:55:26,71.9667,102.5,-34.78,99,25,1.61
85,Buala,SB,2021-12-22 10:55:27,-8.145,159.5921,81.07,83,100,3.89
86,Busselton,AU,2021-12-22 10:55:27,-33.65,115.3333,80.1,62,43,18.01
87,Faanui,PF,2021-12-22 10:55:27,-16.4833,-151.75,78.8,80,100,18.57
88,Port Hueneme,US,2021-12-22 10:55:19,34.1478,-119.1951,58.95,59,100,4.72
