City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Tessalit,ML,66.6,overcast clouds,20.1986,1.0114,
275,Camacha,PT,63.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
279,Alice Town,BS,73.72,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
280,Natal,BR,80.44,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
281,Isangel,VU,84.49,clear sky,-19.55,169.2667,Tanna Lodge
283,Marzuq,YE,61.36,clear sky,14.4,46.4667,
284,Kagadi,UG,65.3,light rain,0.9606,30.7967,ADNEC MOTEL
285,Grand-Santi,GF,73.31,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
287,Biltine,TD,68.38,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
289,Manicore,BR,75.13,overcast clouds,-5.8092,-61.3003,Hotel Durval
290,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
292,Rocha,UY,66.54,clear sky,-34.4833,-54.3333,Hotel Arrarte
300,Guaruja,BR,75.88,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
301,Santa Rosa,PH,82.09,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
303,Crawfordsville,US,61.02,overcast clouds,40.0411,-86.8745,"Holiday Inn Express & Suites Crawfordsville, an IHG Hotel"
304,Gombong,ID,81.1,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
312,Hanmer Springs,NZ,63.82,light rain,-42.5167,172.8167,The Chalets Motel
313,San Vicente,AR,74.39,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
315,Varca,IN,70.68,clear sky,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa"
316,Puerto Madryn,AR,65.44,clear sky,-42.7692,-65.0385,Hotel Tolosa
317,Olinda,BR,80.4,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
326,Lorengau,PG,84.65,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
327,Praia,CV,73.98,broken clouds,14.9215,-23.5087,LT Aparthotel
330,Matara,LK,72.3,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
331,Lamar,US,73.56,clear sky,33.6668,-95.5836,Kings Inn Paris TX
332,Sainte-Suzanne,RE,79.02,light rain,-20.9061,55.6089,Gites Ango
334,Bida,NG,76.44,few clouds,9.0833,6.0167,Royal Suite
335,Vila Franca Do Campo,PT,63.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
336,Vangaindrano,MG,75.02,overcast clouds,-23.35,47.6,Hotel Fanilo
338,Airai,TL,60.22,overcast clouds,-8.9266,125.4092,Juvinal Martin
340,Dzilam Gonzalez,MX,72.16,clear sky,21.2833,-88.9333,posadas
341,Sibu,MY,75.34,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
342,Tadine,NC,82.78,light rain,-21.55,167.8833,
347,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
348,San Alberto,CO,76.77,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
349,Barra Do Garcas,BR,69.39,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
353,Inyonga,TZ,64.17,light rain,-6.7167,32.0667,Eden Rock Lodge
354,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
355,Ocampo,MX,64.47,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
360,Boali,CF,77.5,broken clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
361,Maningrida,AU,79.12,moderate rain,-12.0667,134.2667,Dhukurrdji Lodge
362,Bama,NG,67.12,clear sky,11.5221,13.6856,UN Humanitarian Hub
365,Hervey Bay,AU,82.51,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
369,Cockburn Town,TC,77.65,few clouds,21.4612,-71.1419,Osprey Beach Hotel
370,Najran,SA,63.43,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
372,Male,MV,81.9,broken clouds,4.1748,73.5089,Hotel Octave Maldives
375,Mbandaka,CD,71.58,overcast clouds,0.0487,18.2603,Guest House Epervier
382,Codrington,AU,61.83,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
383,Mayor Pablo Lagerenza,PY,79.47,scattered clouds,-19.9309,-60.7718,
384,Goure,NE,63.12,scattered clouds,13.9835,10.2704,
385,Ippy,CF,81.84,overcast clouds,6.2679,21.2247,
386,Jieshi,CN,61.95,broken clouds,22.8134,115.8257,Yuehai Hotel
387,Narrabri,AU,84.52,clear sky,-30.3167,149.7833,Crossroads Hotel
388,Talcahuano,CL,62.35,clear sky,-36.7167,-73.1167,departamento comodo
390,Port Moresby,PG,85.46,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
391,Kaniama,CD,66.04,overcast clouds,-7.5667,24.1833,
396,Sao Filipe,CV,75.51,broken clouds,14.8961,-24.4956,Hotel Xaguate
397,Comodoro Rivadavia,AR,82.26,clear sky,-45.8667,-67.5,Austral Hotel
400,Constitucion,CL,61.63,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
403,Mogadishu,SO,78.17,broken clouds,2.0371,45.3438,Hotel Juba
405,Port-Gentil,GA,79.95,few clouds,-0.7193,8.7815,Fengshui Residence
407,Katherine,AU,79.12,moderate rain,-14.4667,132.2667,Pine Tree Motel
409,Butterworth,MY,79.0,few clouds,5.3991,100.3638,Cititel Penang
410,Xai-Xai,MZ,72.99,broken clouds,-25.0519,33.6442,Complexo da Familia
412,Nhulunbuy,AU,88.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
413,Sinnamary,GF,77.54,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
414,Carutapera,BR,79.65,broken clouds,-1.195,-46.02,Lidera
415,Alice Springs,AU,89.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
417,Pouso Alegre,BR,61.72,broken clouds,-22.23,-45.9364,Hotel Ferraz | Pouso Alegre - MG | Centro
418,Nouadhibou,MR,67.82,clear sky,20.931,-17.0347,El Medina
420,El Colomo,MX,82.38,clear sky,19.05,-104.25,Hotel Luna del Mar
421,Phan Thiet,VN,73.8,broken clouds,10.9333,108.1,Hotel Saigon-PT
423,Ribeira Brava,PT,66.83,overcast clouds,32.65,-17.0667,Hotel do Campo
424,Morondava,MG,78.03,broken clouds,-20.2833,44.2833,La Case Bambou
425,Vila Velha,BR,73.35,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
427,Da Nang,VN,71.58,mist,16.0678,108.2208,Sun River Hotel
428,Nizwa,OM,64.56,clear sky,22.9333,57.5333,Orient Apartments
429,Quelimane,MZ,84.15,broken clouds,-17.8786,36.8883,Hotel Flamingo
430,La Quinta,US,64.72,clear sky,33.6634,-116.31,Embassy Suites by Hilton La Quinta Hotel & Spa
436,Kabo,CF,76.12,overcast clouds,7.6994,18.629,
441,Buenos Aires,AR,87.69,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
442,Samarai,PG,84.45,scattered clouds,-10.6167,150.6667,Nuli Sapi
443,Ixtapa,MX,76.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
444,Biloela,AU,79.39,light rain,-24.4167,150.5,Biloela Silo Motor Inn
445,Belmonte,BR,72.1,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
446,Bentiu,SS,73.53,broken clouds,9.2333,29.8333,Mandela hôtel
449,Mersing,MY,80.51,scattered clouds,2.4312,103.8405,Timotel Hotel
450,Lumeje,AO,63.14,overcast clouds,-11.55,20.7833,
452,Nanakuli,US,80.55,few clouds,21.3906,-158.1547,Camp Pālehua
453,Vavuniya,LK,65.7,clear sky,8.7514,80.4971,Thampa Hotel
456,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
457,Ambilobe,MG,77.05,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
458,Bontang,ID,78.19,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
459,Kaili,ID,73.02,overcast clouds,-3.4626,120.2147,
460,Salalah,OM,69.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
461,Mabaruma,GY,73.47,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
464,Ducheng,CN,62.29,broken clouds,23.2373,111.5317,Xinyongguang Hotel
466,Rio Gallegos,AR,73.45,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
469,Novo Aripuana,BR,75.07,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
470,Tecoanapa,MX,80.92,few clouds,16.5167,-98.75,Hotel Manglares
471,Moron,AR,87.69,clear sky,-34.6534,-58.6198,Hotel Morón
473,Iaciara,BR,67.62,overcast clouds,-14.0958,-46.6317,Hotel Matinha
474,Allanridge,ZA,64.27,clear sky,-27.7543,26.6438,The Hatchery
476,Nechi,CO,75.45,broken clouds,8.0942,-74.7757,Ivan Villadiego guerra
477,Kasongo-Lunda,CD,67.73,overcast clouds,-6.4667,16.8167,
478,Sola,VU,81.7,broken clouds,-13.8833,167.55,Leumerus Bungalows
479,Mexico,PH,82.42,few clouds,15.0646,120.7198,stone place
480,Pastos Bons,BR,74.46,overcast clouds,-6.6017,-44.0767,Área de lazer casa (Pucina)
482,Dolores,AR,71.89,light rain,-36.3132,-57.6792,Apart Hotel - Arianos
483,Port Augusta,AU,81.72,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
484,Bawku,GH,78.13,clear sky,11.0616,-0.2417,Ultimate Guest House
487,Cap Malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
488,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
493,Manihari,IN,60.91,broken clouds,25.35,87.6333,Sarfaraz
494,Yukon,US,76.6,clear sky,35.5067,-97.7625,Hampton Inn Oklahoma City/Yukon
496,Diego De Almagro,CL,69.06,scattered clouds,-26.3667,-70.05,hotel luna del desierto
497,Dallas,US,75.47,scattered clouds,32.7668,-96.7836,CANVAS Hotel | Dallas
499,Rio Cuarto,AR,82.17,few clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
500,Kandrian,PG,83.66,overcast clouds,-6.2167,149.55,Kandrian Station
504,El Real De Santa Maria,PA,75.47,overcast clouds,8.109,-77.7325,
507,Lagos,NG,77.23,broken clouds,6.5833,3.75,
508,Martin,US,73.33,few clouds,27.0837,-80.4164,
510,Florianopolis,BR,70.83,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
513,Manvi,IN,65.05,clear sky,15.9833,77.05,ರಾಮಣ್ಣ ನಾಯಕ
514,Gusau,NG,69.35,broken clouds,12.1628,6.6614,GUEST INN
515,Gunnedah,AU,83.82,clear sky,-30.9833,150.25,Gunnedah Motor Inn
516,Atambua,ID,74.7,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
519,Gao,ML,68.54,broken clouds,16.6362,1.637,
520,General Roca,AR,83.62,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
522,Abu Dhabi,AE,70.97,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
523,Merauke,ID,81.88,overcast clouds,-8.4667,140.3333,
525,Chone,EC,76.15,overcast clouds,-0.6833,-80.1,Ciudadela Gonzalez
530,Copperas Cove,US,72.05,clear sky,31.1241,-97.9031,Super 8 by Wyndham Copperas Cove
531,Te Anau,NZ,68.18,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
532,Almoloya,MX,62.83,clear sky,19.7,-98.4,Motel Rancho Viejo
534,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
538,Nang Rong,TH,73.83,broken clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
539,Gambo,CF,77.0,overcast clouds,4.6482,22.2633,
540,Rabaul,PG,82.27,overcast clouds,-4.1967,152.1721,Rabaul Hotel
541,Chabahar,IR,74.79,scattered clouds,25.2919,60.643,هتل گدروشیا
544,El Alto,PE,68.86,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
546,Adrar,MR,64.11,scattered clouds,20.5022,-10.0711,
554,Tsaratanana,MG,74.41,light rain,-16.7833,47.65,
557,Jovellar,PH,79.5,scattered clouds,13.0695,123.5999,Michael Calag's Boarding House
560,Mahenge,TZ,63.97,broken clouds,-8.6833,36.7167,Mkondosii Guest House
566,General Cepeda,MX,81.81,broken clouds,25.3833,-101.45,Hacienda Los Jose
567,Hoopstad,ZA,67.01,scattered clouds,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
569,Conceicao Do Araguaia,BR,74.14,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
573,Tiznit,MA,63.05,overcast clouds,29.5833,-9.5,
577,Moctezuma,MX,72.19,broken clouds,29.8,-109.6667,Hotel Lobohombo
579,Bambous Virieux,MU,76.21,few clouds,-20.3428,57.7575,Casa Tia Villa
580,Kalmunai,LK,72.46,few clouds,7.4167,81.8167,VS Villa
582,Gawler,AU,76.24,broken clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
583,Eyl,SO,72.54,broken clouds,7.9803,49.8164,Amiin Hotel
584,Kinablangan,PH,79.25,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
589,Mbuguni,TZ,68.32,overcast clouds,-3.5667,36.95,kaza Moyo Modern Resort
590,La Plata,AR,87.71,clear sky,-34.9215,-57.9545,Hotel Corregidor
592,Socorro,US,74.41,scattered clouds,31.6546,-106.3033,guarderia imss papalote
595,Tarakan,ID,81.9,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
596,Houston,US,74.79,scattered clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
597,Canchungo,GW,71.67,overcast clouds,12.0672,-16.0333,Aparthotel Napalach
598,Itacoatiara,BR,75.63,heavy intensity rain,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
599,Lhokseumawe,ID,77.13,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
601,Nagar Karnul,IN,64.36,clear sky,16.4821,78.3247,Sanjeevani Hills
602,Aracoiaba,BR,77.79,overcast clouds,-4.3711,-38.8142,Bar Redondo e Pousada
608,Coolum Beach,AU,76.1,overcast clouds,-26.5333,153.1,Palmer Coolum Resort
612,Fuerte Olimpo,PY,81.16,clear sky,-21.0415,-57.8738,Hospedaje DAMI
613,Palasa,IN,64.54,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
