City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mastic Beach,US,40.7668,-72.8521,36.01,91,100,5.19,overcast clouds
79,Nara,JP,34.6851,135.8049,52.88,54,79,14.0,broken clouds
80,Souillac,MU,-20.5167,57.5167,76.35,88,20,5.75,few clouds
81,Touros,BR,-5.1989,-35.4608,80.44,77,100,10.33,overcast clouds
82,Amapa,BR,1.0,-52.0,73.08,99,79,1.95,broken clouds
83,Karratha,AU,-20.7377,116.8463,82.08,67,28,7.87,scattered clouds
84,Talnakh,RU,69.4865,88.3972,16.21,95,100,7.78,light snow
85,Husavik,IS,66.0449,-17.3389,25.29,74,99,3.78,overcast clouds
86,Moree,AU,-29.4667,149.85,83.46,46,70,4.72,broken clouds
87,Lincolnton,US,35.4737,-81.2545,55.35,63,1,8.01,clear sky
88,Makakilo City,US,21.3469,-158.0858,79.12,56,20,10.36,few clouds
89,Clyde River,CA,70.4692,-68.5914,1.63,85,90,17.27,overcast clouds
90,Lompoc,US,34.6391,-120.4579,59.38,84,90,8.05,overcast clouds
91,Hobyo,SO,5.3505,48.5268,76.84,71,62,14.67,broken clouds
92,Saskylakh,RU,71.9167,114.0833,-40.68,100,50,1.9,scattered clouds
93,Hofn,IS,64.2539,-15.2082,38.89,67,100,3.44,overcast clouds
94,Georgetown,MY,5.4112,100.3354,78.89,88,20,0.0,few clouds
95,Upernavik,GL,72.7868,-56.1549,5.83,93,97,11.54,overcast clouds
96,Puerto Ayora,EC,-0.7393,-90.3518,70.5,89,97,6.96,overcast clouds
97,Westerland,DE,54.9079,8.3033,21.22,79,0,3.44,clear sky
98,Alta Floresta,BR,-9.8756,-56.0861,71.04,99,100,4.05,overcast clouds
99,San Felipe,VE,10.3399,-68.7425,71.71,98,61,3.8,broken clouds
100,Goundam,ML,16.4145,-3.6708,70.45,13,47,9.31,scattered clouds
101,Mata,PT,40.683,-7.4592,49.93,95,100,4.61,overcast clouds
102,Mehamn,NO,71.0357,27.8492,23.72,68,100,10.42,overcast clouds
103,Arroyo,ES,41.6096,-4.7969,48.72,87,75,9.22,broken clouds
104,Sisimiut,GL,66.9395,-53.6735,22.42,58,45,12.75,scattered clouds
105,Dukat,RU,62.55,155.55,-27.17,96,100,5.17,overcast clouds
106,Cidreira,BR,-30.1811,-50.2056,70.86,73,4,16.4,clear sky
107,Bluff,NZ,-46.6,168.3333,65.8,57,0,4.99,clear sky
108,Saint-Philippe,RE,-21.3585,55.7679,78.39,87,98,1.12,light rain
109,Flinders,AU,-34.5833,150.8552,84.18,69,26,9.55,scattered clouds
110,Mahebourg,MU,-20.4081,57.7,76.24,78,98,1.23,overcast clouds
111,Hayrabolu,TR,41.2131,27.1069,40.46,88,0,11.03,clear sky
112,Havoysund,NO,70.9963,24.6622,22.08,78,100,8.39,light snow
113,Chuy,UY,-33.6971,-53.4616,67.91,79,2,13.53,clear sky
114,Albany,US,42.6001,-73.9662,30.31,86,92,2.08,overcast clouds
115,Riyadh,SA,24.6877,46.7219,62.76,46,100,1.81,overcast clouds
116,Kirkland Lake,CA,48.1446,-80.0377,22.15,92,100,9.8,overcast clouds
117,Okha,RU,53.5739,142.9478,-6.83,94,92,20.98,overcast clouds
118,Voh,NC,-20.9667,164.7,87.26,60,5,2.91,clear sky
119,Diamantino,BR,-14.4086,-56.4461,73.99,97,94,4.07,light rain
120,Punta Arenas,CL,-53.15,-70.9167,59.11,67,0,27.63,light rain
121,Shanghai,CN,31.2222,121.4581,40.93,58,75,3.0,broken clouds
122,Kosikha,RU,53.3617,84.5822,18.37,97,100,5.88,overcast clouds
123,Susangerd,IR,31.5608,48.1831,55.58,55,42,8.97,scattered clouds
124,Tasiilaq,GL,65.6145,-37.6368,23.16,53,4,5.19,clear sky
125,Barrow,US,71.2906,-156.7887,-14.78,76,40,8.05,scattered clouds
126,Kangaatsiaq,GL,68.3065,-53.4641,13.87,78,89,10.45,overcast clouds
127,Sumbe,AO,-11.2061,13.8437,75.42,78,52,6.87,broken clouds
128,Yulara,AU,-25.2406,130.9889,89.01,32,4,11.01,clear sky
129,Key West,US,24.5557,-81.7826,72.0,64,0,14.45,clear sky
130,Prince Rupert,CA,54.3161,-130.3201,15.51,77,4,5.99,clear sky
131,Hovd,MN,48.0056,91.6419,-0.11,71,13,3.69,few clouds
132,Liberal,US,37.0431,-100.921,70.07,26,1,27.63,clear sky
133,Maniwaki,CA,46.3834,-75.966,20.35,79,69,2.57,broken clouds
134,Tambura,SS,5.6,27.4667,73.67,26,92,3.76,overcast clouds
135,Tiksi,RU,71.6872,128.8694,-25.73,100,99,3.51,overcast clouds
